language_name,year,count,lag_count,yoy_change
Brainfuck,2015,3032,3149.0,-0.03715465227056214
Brainfuck,2016,1723,3032.0,-0.4317282321899736
Brainfuck,2017,1420,1723.0,-0.17585606500290196
Brainfuck,2018,878,1420.0,-0.38169014084507047
Brainfuck,2019,642,878.0,-0.2687927107061503
Brainfuck,2020,496,642.0,-0.22741433021806856
Brainfuck,2021,353,496.0,-0.28830645161290325
Brightscript,2012,280,277.0,0.010830324909747224
Brightscript,2013,313,280.0,0.11785714285714288
Brightscript,2014,307,313.0,-0.019169329073482455
Brightscript,2015,274,307.0,-0.10749185667752448
Brightscript,2016,166,274.0,-0.3941605839416058
Brightscript,2017,136,166.0,-0.1807228915662651
Brightscript,2018,103,136.0,-0.24264705882352944
Brightscript,2019,68,103.0,-0.3398058252427184
Brightscript,2020,41,68.0,-0.3970588235294118
Brightscript,2021,23,41.0,-0.4390243902439024
Bro,2012,207,167.0,0.23952095808383222
Bro,2013,183,207.0,-0.1159420289855072
Bro,2014,269,183.0,0.4699453551912569
Bro,2015,308,269.0,0.14498141263940512
Bro,2016,332,308.0,0.07792207792207795
Bro,2017,251,332.0,-0.24397590361445787
Bro,2018,134,251.0,-0.4661354581673307
Bro,2019,67,134.0,-0.5
Bro,2020,11,67.0,-0.835820895522388
Bro,2021,8,11.0,-0.2727272727272727
C,2012,560281,508217.0,0.10244442826587852
C,2013,638552,560281.0,0.1396995436218611
C,2014,722661,638552.0,0.1317183252107894
C,2015,678901,722661.0,-0.060553980358702075
C,2016,420028,678901.0,-0.38131185548408386
C,2017,326917,420028.0,-0.22167807860428357
C,2018,194353,326917.0,-0.40549741983439225
C,2019,140598,194353.0,-0.2765843593873004
C,2020,111560,140598.0,-0.2065320986073771
C,2021,79729,111560.0,-0.2853262818214414
C#,2012,97214,78242.0,0.2424784642519362
C#,2013,130360,97214.0,0.34095912111424287
C#,2014,190670,130360.0,0.46264191469776006
C#,2015,229552,190670.0,0.2039230083390151
C#,2016,168048,229552.0,-0.26793057782114726
C#,2017,150834,168048.0,-0.10243501856612391
C#,2018,79713,150834.0,-0.4715183579299097
C#,2019,54953,79713.0,-0.31061432890494645
C#,2020,41564,54953.0,-0.24364456899532327
C#,2021,28907,41564.0,-0.3045183331729381
C++,2012,490907,443045.0,0.10802965838684564
C++,2013,562412,490907.0,0.14565895373258075
C++,2014,654072,562412.0,0.1629766078959909
C++,2015,627889,654072.0,-0.04003076113944637
C++,2016,392105,627889.0,-0.3755186028103693
C++,2017,315345,392105.0,-0.19576388977442272
C++,2018,182742,315345.0,-0.42050135565808877
C++,2019,128392,182742.0,-0.2974138402775498
C++,2020,98961,128392.0,-0.22922767773693065
C++,2021,68118,98961.0,-0.31166823294024915
CLIPS,2012,4545,4164.0,0.0914985590778099
CLIPS,2013,4375,4545.0,-0.037403740374037375
CLIPS,2014,4327,4375.0,-0.010971428571428521
